+00:00,+00:00,GMT,GMT
+00:00,+00:00,GMT,GMT
+03:00,+03:00,EAT,EAT
+01:00,+01:00,CET,CET
+03:00,+03:00,EAT,EAT
+03:00,+03:00,EAT,EAT
+00:00,+00:00,GMT,GMT
+01:00,+01:00,WAT,WAT
+00:00,+00:00,GMT,GMT
+00:00,+00:00,GMT,GMT
+02:00,+02:00,CAT,CAT
+01:00,+01:00,WAT,WAT
+02:00,+02:00,CAT,CAT
+02:00,+02:00,EET,EET
+01:00,+00:00,+01,+00
+01:00,+02:00,CET,CEST
+00:00,+00:00,GMT,GMT
+00:00,+00:00,GMT,GMT
+03:00,+03:00,EAT,EAT
+03:00,+03:00,EAT,EAT
+01:00,+01:00,WAT,WAT
+01:00,+00:00,+01,+00
+00:00,+00:00,GMT,GMT
+02:00,+02:00,CAT,CAT
+02:00,+02:00,CAT,CAT
+02:00,+02:00,SAST,SAST
+02:00,+02:00,CAT,CAT
+03:00,+03:00,EAT,EAT
+02:00,+02:00,CAT,CAT
+02:00,+02:00,CAT,CAT
+01:00,+01:00,WAT,WAT
+01:00,+01:00,WAT,WAT
+01:00,+01:00,WAT,WAT
+00:00,+00:00,GMT,GMT
+01:00,+01:00,WAT,WAT
+02:00,+02:00,CAT,CAT
+02:00,+02:00,CAT,CAT
+01:00,+01:00,WAT,WAT
+02:00,+02:00,CAT,CAT
+02:00,+02:00,SAST,SAST
+02:00,+02:00,SAST,SAST
+03:00,+03:00,EAT,EAT
+00:00,+00:00,GMT,GMT
+03:00,+03:00,EAT,EAT
+01:00,+01:00,WAT,WAT
+01:00,+01:00,WAT,WAT
+00:00,+00:00,GMT,GMT
+00:00,+00:00,GMT,GMT
+01:00,+01:00,WAT,WAT
+00:00,+00:00,GMT,GMT
+00:00,+00:00,GMT,GMT
+02:00,+02:00,EET,EET
+01:00,+01:00,CET,CET
+02:00,+02:00,CAT,CAT
?10:00,?09:00,HST,HDT
?09:00,?08:00,AKST,AKDT
?04:00,?04:00,AST,AST
?04:00,?04:00,AST,AST
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?04:00,?04:00,AST,AST
?04:00,?03:00,-04,-03
?05:00,?05:00,EST,EST
?10:00,?09:00,HST,HDT
?03:00,?03:00,-03,-03
?06:00,?06:00,CST,CST
?04:00,?04:00,AST,AST
?03:00,?03:00,-03,-03
?06:00,?06:00,CST,CST
?04:00,?04:00,AST,AST
?04:00,?04:00,-04,-04
?05:00,?05:00,-05,-05
?07:00,?06:00,MST,MDT
?03:00,?03:00,-03,-03
?07:00,?06:00,MST,MDT
?04:00,?04:00,-04,-04
?05:00,?05:00,EST,EST
?04:00,?04:00,-04,-04
?03:00,?03:00,-03,-03
?03:00,?03:00,-03,-03
?05:00,?05:00,EST,EST
?06:00,?05:00,CST,CDT
?06:00,?06:00,CST,CST
?07:00,?06:00,MST,MDT
?05:00,?05:00,EST,EST
?03:00,?03:00,-03,-03
?06:00,?06:00,CST,CST
?07:00,?07:00,MST,MST
?04:00,?04:00,-04,-04
?04:00,?04:00,AST,AST
+00:00,+00:00,GMT,GMT
?07:00,?07:00,MST,MST
?07:00,?07:00,MST,MST
?07:00,?06:00,MST,MDT
